,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,184.9,187.82,182.38,186.89,37793089.0,185.4256,1651464000000,322831,
1,186.92,189.5099,185.68,188.49,30125266.0,187.9087,1651550400000,273912,
2,189.05,193.93,185.6932,193.52,38834742.0,189.5855,1651636800000,344094,
3,191.53,191.56,183.38,185.67,41161705.0,186.5657,1651723200000,395884,
4,184.96,185.42,180.55,182.58,45375373.0,182.7392,1651809600000,429656,
5,179.86,182.6534,174.1,174.9,53282010.0,176.887,1652068800000,453192,
6,177.57,178.905,171.2,174.95,53650814.0,175.0211,1652155200000,520188,
7,175.13,178.19,170.3,170.6,64341822.0,174.3254,1652241600000,520929,
8,169.83,174.34,168.9,172.6,52905878.0,171.3918,1652328000000,433785,
9,175.04,179.41,175.01,178.07,36517011.0,177.2603,1652414400000,307673,
10,177.5,179.44,176.135,177.22,28184461.0,177.7359,1652673600000,267066,
11,180.41,182.84,178.99,182.64,31833733.0,181.2526,1652760000000,224940,
12,180.47,181.41,175.1,176.24,36093763.0,178.0049,1652846400000,269150,
13,174.89,178.81,174.89,176.53,33627736.0,176.8309,1652932800000,277299,
14,178.5,178.97,171.79,176.08,40758036.0,175.1016,1653019200000,283721,
15,177.88,178.96,175.5,178.21,24627132.0,177.6147,1653278400000,225194,
16,176.57,176.93,172.33,175.57,26824782.0,174.5407,1653364800000,212634,
17,174.88,179.78,174.81,178.73,27930056.0,177.7513,1653451200000,219373,
18,179.85,183.795,179.7,182.72,25700004.0,182.4079,1653537600000,187360,
19,183.76,187.65,183.4,187.64,24943826.0,186.1379,1653624000000,171704,
20,186.91,187.6765,184.09,185.31,29523059.0,185.6728,1653969600000,233352,
21,186.27,186.94,181.77,184.26,28262136.0,184.3219,1654056000000,202977,
22,184.59,188.76,184.17,188.76,24257960.0,187.0432,1654142400000,178038,
23,187.29,187.96,185.79,187.06,18958390.0,186.9827,1654228800000,167486,
24,189.29,189.305,186.83,187.87,24310747.0,187.8757,1654488000000,163185,
25,186.41,190.94,185.9,190.9,21630588.0,189.2958,1654574400000,143774,
26,189.96,190.7,187.06,187.95,21521727.0,189.0339,1654660800000,138497,
27,186.55,187.07,183.53,183.57,21673529.0,185.2647,1654747200000,139855,
28,180.51,181.55,177.65,178.59,36882058.0,179.3084,1654833600000,259423,
29,173.63,174.96,169.29,170.2,39671010.0,171.3846,1655092800000,359901,
30,170.67,171.24,167.74,169.38,30186434.0,169.4988,1655179200000,251429,
31,171.21,174.06,168.66,171.86,31951529.0,171.5904,1655265600000,290225,
32,167.84,168.42,162.78,163.9,42483369.0,164.7866,1655352000000,298324,
33,164.48,167.52,163.7,165.18,39763871.0,165.3566,1655438400000,290502,
34,167.98,170.08,166.81,168.14,34563447.0,168.4769,1655784000000,231912,
35,165.96,169.255,165.37,167.82,29293986.0,167.7684,1655870400000,194206,
