,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,23.66,23.66,23.26,23.66,59690.0,23.4163,1646370000000,715,
1,23.43,23.48,23.0,23.0,41906.0,23.2399,1646629200000,299,
2,22.97,23.31,22.85,23.06,45380.0,23.0831,1646715600000,260,
3,23.45,23.45,23.2231,23.27,60911.0,23.294,1646802000000,173,
4,23.21,23.465,23.1368,23.44,29139.0,23.2851,1646888400000,185,
5,23.89,23.89,23.26,23.45,22598.0,23.5199,1646974800000,216,
6,23.49,23.5299,23.04,23.07,123345.0,23.3157,1647230400000,236,
7,23.0,23.71,23.0,23.34,37589.0,23.3789,1647316800000,228,
8,23.8628,24.0331,23.48,23.9761,52611.0,23.9972,1647403200000,107,
9,24.0567,24.17,23.95,24.0975,196701.0,24.0612,1647489600000,142,
10,23.9316,24.38,23.93,24.35,56797.0,24.2513,1647576000000,160,
11,24.47,24.5796,24.29,24.39,61229.0,24.425,1647835200000,254,
12,24.6,24.6,24.3262,24.35,157600.0,24.3758,1647921600000,159,
13,24.37,24.58,24.2,24.58,9707.0,24.3669,1648008000000,101,
14,24.59,24.71,24.38,24.71,49697.0,24.5533,1648094400000,186,
15,24.88,24.88,24.4563,24.69,18221.0,24.5984,1648180800000,134,
16,24.46,24.465,24.05,24.37,79581.0,24.2477,1648440000000,260,
17,24.4298,24.74,24.4201,24.74,68207.0,24.5919,1648526400000,304,
18,24.75,24.75,24.48,24.72,71533.0,24.5599,1648612800000,489,
19,24.46,24.5999,24.3,24.41,50400.0,24.5066,1648699200000,277,
20,24.46,24.47,24.2506,24.45,68127.0,24.3688,1648785600000,360,
21,24.58,24.7699,24.45,24.7444,150835.0,24.6031,1649044800000,437,
22,24.6228,24.68,24.27,24.2808,39898.0,24.5071,1649131200000,331,
23,24.29,24.34,23.85,24.34,73819.0,24.0173,1649217600000,325,
24,24.25,24.3,24.08,24.25,11501.0,24.1878,1649304000000,158,
25,24.3,24.5037,24.21,24.38,19580.0,24.3733,1649390400000,174,
26,24.33,24.33,24.05,24.05,48669.0,24.1285,1649649600000,299,
27,24.11,24.315,23.9,23.9,11494.0,24.1574,1649736000000,146,
28,23.97,24.49,23.91,24.37,50258.0,24.375,1649822400000,150,
29,24.45,24.59,24.3,24.3,47269.0,24.4562,1649908800000,311,
30,24.25,24.44,24.23,24.27,25104.0,24.331,1650254400000,188,
31,24.18,24.635,24.18,24.56,12021.0,24.5331,1650340800000,131,
32,24.81,24.81,24.55,24.64,19102.0,24.6734,1650427200000,175,
33,24.78,24.8099,24.23,24.25,17379.0,24.5596,1650513600000,205,
34,24.32,24.32,23.52,23.67,38714.0,23.7994,1650600000000,359,
35,23.63,23.75,23.2,23.67,73511.0,23.5146,1650859200000,434,
36,23.46,23.46,22.7001,22.71,174628.0,22.9554,1650945600000,715,
37,22.86,23.01,22.55,22.55,86020.0,22.7012,1651032000000,310,
38,23.04,23.24,22.7669,22.95,31295.0,22.9925,1651118400000,341,
39,22.95,22.9792,22.45,22.45,41861.0,22.7024,1651204800000,379,
40,22.4,22.555,22.1,22.5,138789.0,22.3877,1651464000000,553,
41,22.7,22.89,22.505,22.82,49905.0,22.7115,1651550400000,232,
42,23.04,23.39,22.8641,23.3,31931.0,23.1428,1651636800000,289,
43,23.37,23.4,22.2729,22.46,66730.0,22.7166,1651723200000,450,
44,22.42,22.48,22.01,22.48,27960.0,22.2907,1651809600000,268,
45,22.4,22.4,21.9,22.0191,287125.0,22.027,1652068800000,533,
46,22.3,22.3,22.0,22.23,31589.0,22.1868,1652155200000,268,
47,22.2,22.5173,22.1705,22.29,39035.0,22.3517,1652241600000,243,
48,22.04,22.39,22.0272,22.35,84611.0,22.1563,1652328000000,274,
49,22.6675,22.79,22.551,22.73,59747.0,22.7636,1652414400000,173,
50,22.94,23.03,22.8,22.95,32341.0,22.9115,1652673600000,283,
51,22.96,23.2599,22.96,23.13,48811.0,23.15,1652760000000,308,
52,23.13,23.15,22.21,22.5,112666.0,22.569,1652846400000,410,
53,22.12,22.71,22.12,22.71,342166.0,22.2696,1652932800000,309,
54,22.81,23.015,22.35,22.89,155573.0,22.9205,1653019200000,327,
55,23.18,23.18,22.7196,22.94,29409.0,22.8977,1653278400000,217,
56,22.86,22.9,22.55,22.87,36024.0,22.7346,1653364800000,365,
57,22.77,22.82,22.4,22.82,106639.0,22.5903,1653451200000,326,
58,22.715,22.769,22.63,22.63,29554.0,22.718,1653537600000,309,
59,22.96,22.96,22.75,22.87,52664.0,22.8526,1653624000000,375,
60,23.07,23.16,22.68,23.09,125973.0,22.9288,1653969600000,345,
61,23.1,23.1499,22.7569,23.14,31982.0,22.9336,1654056000000,286,
62,22.97,23.23,22.97,23.08,39295.0,23.1,1654142400000,294,
63,23.0,23.04,22.9647,23.04,31902.0,22.9923,1654228800000,189,
64,23.15,23.21,23.068,23.16,22190.0,23.1394,1654488000000,193,
65,23.06,23.26,23.05,23.24,46706.0,23.1463,1654574400000,326,
66,23.15,23.32,23.15,23.32,24941.0,23.2458,1654660800000,177,
67,23.17,23.23,23.0,23.07,25861.0,23.1169,1654747200000,265,
68,23.0,23.0,22.5,22.68,66925.0,22.6659,1654833600000,438,
69,22.5,22.5,21.7101,21.9,124850.0,21.9875,1655092800000,694,
70,21.72,21.86,21.65,21.86,154313.0,21.7102,1655179200000,507,
71,21.95,22.315,21.92,22.1611,195024.0,22.1588,1655265600000,345,
72,21.88,21.97,21.69,21.85,813554.0,21.8414,1655352000000,309,
73,21.95,22.0863,21.75,22.0362,46461.0,21.9516,1655438400000,295,
