,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,95.35,96.125,91.85,91.95,1805418.0,93.798,1652673600000,53405,
1,89.35,91.55,88.5,89.7,1570910.4,89.731,1652760000000,42665,
2,91.75,103.4,91.15,102.85,2512404.8,97.3775,1652846400000,73715,
3,104.6,105.2,95.8,96.2,2608078.6,100.233,1652932800000,87319,
4,93.1,103.7,92.725,96.65,3335350.0,98.6995,1653019200000,101110,
5,94.75,97.9995,93.5,95.15,1769549.4,95.117,1653278400000,58579,
6,97.25,100.0,94.925,95.6,2438550.6,97.1475,1653364800000,74815,
7,97.15,97.225,92.45,93.45,1560937.0,94.9925,1653451200000,48650,
8,92.45,92.95,91.25,92.45,1229751.0,92.0645,1653537600000,35833,
9,90.2,91.05,88.8,88.95,1387262.0,89.8505,1653624000000,34878,
10,90.85,92.8,86.9,87.45,1523493.8,89.191,1653969600000,41395,
11,86.35,91.4355,85.45,86.85,1959755.2,88.1945,1654056000000,52668,
12,87.15,87.7,83.6,85.05,1473379.8,85.396,1654142400000,37308,
13,86.7,87.85,85.35,85.85,1569948.4,86.5625,1654228800000,42081,
14,84.25,86.15,83.675,84.85,1346803.4,84.8925,1654488000000,35670,
15,86.85,87.1,82.375,82.5,1040900.0,84.247,1654574400000,27083,
16,83.6,84.4,82.0,82.5,1080788.4,83.188,1654660800000,29387,
17,84.0,86.85,82.5,86.5,1508463.2,84.7925,1654747200000,36737,
18,89.9,93.65,89.0,91.7,2957948.8,91.2005,1654833600000,80340,
19,98.25,105.325,97.9,104.05,2976129.6,101.4295,1655092800000,84062,
20,103.15,104.7,99.8,100.9,2386267.0,101.8825,1655179200000,75451,
21,98.3,98.7345,91.65,94.9,2984087.6,95.155,1655265600000,93616,
22,99.8,103.7,98.9995,100.95,3106379.2,101.542,1655352000000,91275,
23,100.6,102.25,96.9,98.0,1954240.6,98.865,1655438400000,61883,
24,94.2,96.25,92.55,96.05,1581812.4,94.378,1655784000000,43402,
25,97.7,98.05,92.0,92.3,1841604.0,94.2845,1655870400000,50315,
26,91.6,94.6,91.4,92.3,1980476.4,92.786,1655956800000,53428,
27,90.45,90.725,89.1,90.4,1219515.0,89.974,1656043200000,32792,
28,89.75,90.8,87.35,87.6,1519101.8,88.5445,1656302400000,39518,
29,86.6,90.975,85.8,90.15,1841418.8,88.7865,1656388800000,46697,
30,90.75,92.5,89.35,90.4,1406162.0,90.8345,1656475200000,41964,
31,92.3,94.9,90.525,91.25,1865738.2,92.597,1656561600000,51881,
32,92.15,93.8,88.55,88.9,1418234.8,90.9045,1656648000000,38260,
33,92.15,94.0,88.575,88.85,1709600.8,91.356,1656993600000,46020,
34,89.05,90.4,86.95,87.4,1081047.8,88.829,1657080000000,29810,
35,86.85,87.0,85.1505,86.45,923864.8,86.079,1657166400000,23058,
36,86.75,86.75,83.975,84.65,1112452.0,85.1165,1657252800000,28525,
37,86.0,87.675,85.425,87.05,1044062.0,86.5245,1657512000000,27825,
38,87.2,88.8,85.25,87.9,1071798.2,86.9315,1657598400000,31025,
39,90.1,90.4,85.7,86.55,1483621.0,87.652,1657684800000,42371,
40,89.25,90.65,86.45,86.7,1534457.6,88.8355,1657771200000,41413,
41,84.8,85.425,82.15,82.3,1509948.6,83.3205,1657857600000,38335,
42,81.8,85.3995,81.1,84.7,1484675.2,83.5295,1658116800000,36991,
43,83.0,83.6,81.8,83.5,1629286.0,82.593,1658203200000,37527,
44,82.8,83.3995,81.1,81.65,1906995.0,82.0855,1658289600000,43122,
45,81.35,82.575,79.5,79.55,1739954.4,80.6935,1658376000000,41006,
46,79.5,81.5,78.7,79.15,1712175.2,79.992,1658462400000,38234,
47,78.9,79.5,77.5,78.15,1786601.2,78.4475,1658721600000,40186,
48,79.05,81.3,78.8,79.95,1416141.0,80.1085,1658808000000,33701,
49,78.25,78.375,75.9,77.5,1723650.8,77.1125,1658894400000,38852,
50,76.5,77.5,73.45,73.5,1788068.4,75.049,1658980800000,41037,
51,73.3,74.0,72.35,72.8,1147943.6,72.989,1659067200000,26621,
52,74.05,75.6,73.0,75.35,1514888.6,74.3615,1659326400000,35184,
53,76.3,77.7,73.55,76.1,1928960.4,75.5795,1659412800000,43914,
54,74.65,74.8435,71.9,72.3,1255992.2,72.996,1659499200000,30737,
55,72.9,74.2,72.375,72.55,1191813.6,73.2885,1659585600000,28358,
56,74.1,74.1,70.605,70.7,1306051.4,72.153,1659672000000,30142,
57,70.8,72.35,69.0,71.1,1836554.2,70.823,1659931200000,38792,
58,72.05,72.675,70.95,71.6,1059150.8,71.751,1660017600000,24697,
59,69.0,69.425,67.2,67.5,1434259.8,68.185,1660104000000,32099,
60,67.2,69.4,66.8,68.05,2173144.0,67.986,1660190400000,42444,
61,67.5,67.85,65.7,67.2,1342285.2,66.532,1660276800000,26414,
62,68.15,68.2,65.7,66.15,1031568.0,66.627,1660536000000,21473,
63,66.35,67.35,65.825,66.65,1759112.6,66.69,1660622400000,36414,
64,67.4,68.1,65.5,66.35,2322425.4,66.794,1660708800000,45486,
65,66.35,66.975,65.15,65.3,1198645.0,65.835,1660795200000,22637,
66,66.75,69.775,66.425,68.55,2422800.6,68.437,1660881600000,51708,
67,71.5,73.35,70.7,73.0,2222760.2,72.03,1661140800000,51885,
68,72.65,73.075,70.5,71.75,1661066.2,71.509,1661227200000,41071,
69,71.3,71.55,68.95,69.4,1168421.4,69.911,1661313600000,26964,
70,68.65,69.35,66.925,67.05,1154371.4,67.859,1661400000000,22697,
71,67.65,74.125,66.9,73.85,2950152.4,71.2345,1661486400000,64210,
72,74.85,75.2,72.402,73.15,2500765.6,73.8385,1661745600000,52048,
73,72.65,75.8,72.45,74.4,2539622.6,74.297,1661832000000,52069,
74,72.85,74.1,71.825,72.95,1609370.6,72.9075,1661918400000,34435,
75,74.25,76.2,72.15,72.4,2602139.6,74.4455,1662004800000,53850,
76,69.85,74.25,68.9,73.05,2457949.0,71.6625,1662091200000,53539,
77,71.55,75.0,71.25,74.6,2077267.8,73.823,1662436800000,44358,
78,75.0,75.0,70.35,70.6,2715605.6,72.0525,1662523200000,40914,
79,71.8,72.4,69.25,69.5,2490434.4,70.3055,1662609600000,43993,
80,68.3,68.825,67.5805,68.8,1437184.0,68.262,1662696000000,29856,
81,67.5,69.35,66.925,68.45,2336178.8,68.1745,1662955200000,35142,
82,71.55,75.6,70.5,74.4,4842934.4,72.7525,1663041600000,77723,
83,74.3,75.65,73.4005,74.25,3191269.0,74.3795,1663128000000,48964,
84,74.5,74.8,72.3,74.1,2931517.8,73.746,1663214400000,53485,
85,76.0,77.8,73.575,74.1,2557809.8,75.884,1663300800000,52748,
86,75.25,75.4,71.2,71.75,3139287.6,72.963,1663560000000,49114,
87,73.35,75.1,72.66,74.15,2784230.4,73.9145,1663646400000,49465,
88,73.15,76.55,71.575,76.55,3203702.4,73.687,1663732800000,60775,
89,75.8,77.7,74.75,76.1,2098655.8,76.3845,1663819200000,41582,
90,77.95,84.375,77.75,80.75,5158837.4,80.8975,1663905600000,101536,
91,82.55,84.325,79.3,83.55,3660932.6,82.2555,1664164800000,69197,
92,81.45,86.95,80.95,84.8,3599652.6,84.279,1664251200000,71921,
93,84.15,85.65,80.3,81.3,2084407.2,82.471,1664337600000,45356,
94,83.45,87.2,83.45,83.6,2938211.0,85.3065,1664424000000,55041,
95,84.35,85.75,81.125,85.5,2126043.2,83.5535,1664510400000,40541,
96,82.9,83.75,80.1,81.55,1910108.4,81.4115,1664769600000,34600,
97,78.3,79.7,77.9,78.6,1917652.8,78.7725,1664856000000,33448,
98,79.95,81.75,78.55,79.2,1882817.6,80.1765,1664942400000,34305,
99,78.6,81.95,78.125,81.5,2095033.6,79.967,1665028800000,36700,
100,82.65,85.55,82.35,84.85,2386397.8,84.27,1665115200000,39299,
101,85.35,89.05,85.2,86.9,2237007.8,86.833,1665374400000,43244,
102,87.4,89.475,85.4,88.25,2565863.6,87.3555,1665460800000,43995,
103,87.9,88.475,86.4,87.45,1702066.2,87.296,1665547200000,32372,
104,88.85,88.9,84.15,84.95,2930735.2,86.0485,1665633600000,55681,
105,83.15,88.3935,82.7,86.7,2735465.6,86.3305,1665720000000,50242,
106,84.1,84.775,82.725,84.5,1543579.8,83.623,1665979200000,28853,
107,82.75,85.075,82.4,82.85,1486356.2,83.469,1666065600000,29532,
108,83.5,84.875,82.35,83.45,1528100.2,83.6365,1666152000000,31344,
109,83.0,83.65,80.725,82.4,1605994.8,82.2595,1666238400000,29025,
110,81.95,82.5,80.358,82.1,2209170.0,81.427,1666324800000,38510,
111,81.2,83.3005,80.6,80.8,1648613.2,81.926,1666584000000,27807,
112,80.9,81.1475,77.4005,77.6,1524608.4,78.892,1666670400000,29063,
113,78.3,78.308,75.45,75.8,1586151.2,76.485,1666756800000,30792,
114,75.4,75.85,73.9495,74.3,1151017.4,74.7625,1666843200000,23992,
115,74.35,74.425,72.05,72.55,1478898.4,72.739,1666929600000,29172,
116,73.2,73.2,71.35,71.45,1171957.2,72.053,1667188800000,22852,
117,70.675,71.95,70.6,70.75,1322222.2,71.186,1667275200000,24366,
118,71.35,73.0,70.1,72.65,1955350.0,71.7465,1667361600000,38987,
119,73.7,74.5,70.45,71.05,1785099.8,72.0855,1667448000000,30170,
120,69.55,71.75,68.2,70.2,1310171.6,69.958,1667534400000,26070,
121,70.0,70.45,68.75,69.55,674074.4,69.484,1667797200000,13086,
122,68.8,72.15,68.75,71.4,838776.2,70.1995,1667883600000,16875,
123,71.5,74.1995,71.5,73.55,1159358.4,73.015,1667970000000,22399,
124,69.45,70.15,68.025,69.55,1451032.6,69.1425,1668056400000,25104,
125,70.15,70.65,68.6005,68.75,1037221.4,69.288,1668142800000,18683,
126,68.85,69.0,66.8985,68.7,995556.6,67.798,1668402000000,19238,
127,67.05,71.6,66.9995,69.5,2033477.6,69.135,1668488400000,41481,
128,68.75,69.1,67.6,67.7,1061199.2,68.379,1668574800000,18637,
129,69.4,69.45,66.95,67.1,855931.0,67.8565,1668661200000,16880,
130,66.4,67.8,66.25,66.4,839628.2,66.856,1668747600000,18916,
131,66.55,66.6495,64.45,64.65,884905.8,65.447,1669006800000,16516,
132,64.05,64.075,62.2235,62.4,813242.4,63.0935,1669093200000,16399,
133,62.4,62.725,60.9,61.05,1008498.8,61.7885,1669179600000,19552,
134,61.7,61.75,61.0,61.3,582472.8,61.3725,1669352400000,10750,
135,62.6,64.104,61.7785,63.55,960756.4,63.185,1669611600000,18722,
136,63.25,64.0,62.35,62.7,782472.8,63.067,1669698000000,15949,
