,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,82.14,83.0,81.385,82.34,8346281.0,82.3278,1652673600000,80857,
1,84.19,84.8,83.34,84.67,7568711.0,84.2543,1652760000000,77091,
2,83.86,84.05,81.69,82.04,6966247.0,82.6558,1652846400000,79415,
3,81.5,83.59,81.4,82.62,8097544.0,82.5199,1652932800000,88957,
4,83.43,83.75,80.62,82.42,8057183.0,81.8099,1653019200000,88349,
5,83.47,84.13,82.9,83.93,6380142.0,83.6973,1653278400000,67556,
6,83.65,83.74,82.02,83.45,7029807.0,83.0126,1653364800000,87891,
7,83.13,84.175,82.84,83.82,5535806.0,83.5518,1653451200000,65681,
8,84.4,85.79,84.24,85.36,5536633.0,85.3114,1653537600000,66403,
9,86.08,87.39,85.94,87.36,6792501.0,86.6533,1653624000000,70616,
10,86.54,86.86,85.74,86.03,9245419.0,86.2232,1653969600000,95568,
11,86.17,86.435,84.34,85.17,7175029.0,85.2114,1654056000000,74260,
12,86.08,87.52,85.885,87.52,6525394.0,86.8019,1654142400000,72451,
13,86.74,87.36,86.36,86.67,5325675.0,86.805,1654228800000,59447,
14,87.31,87.84,87.02,87.49,5592117.0,87.4135,1654488000000,62416,
15,86.75,88.225,86.52,88.12,6205869.0,87.6287,1654574400000,61095,
16,87.21,87.95,86.095,86.29,4237813.0,86.8736,1654660800000,55067,
17,85.63,85.92,84.22,84.25,5406431.0,85.1903,1654747200000,63977,
18,82.62,82.76,81.56,81.67,8334179.0,82.0593,1654833600000,85439,
19,79.58,79.76,78.02,78.48,10410240.0,78.8368,1655092800000,112701,
20,78.46,78.93,77.27,77.88,7850368.0,77.9908,1655179200000,85361,
21,78.87,78.97,76.44,77.86,10429713.0,77.8838,1655265600000,116084,
22,75.73,75.98,74.41,75.05,9284671.0,75.0568,1655352000000,101220,
23,74.94,75.46,73.6191,74.92,12509811.0,74.719,1655438400000,115371,
24,75.57,75.88,74.95,75.53,5616590.0,75.5497,1655784000000,65813,
25,73.9,75.29,73.69,74.56,8032413.0,74.6614,1655870400000,83700,
26,74.26,74.68,72.77,73.54,9467396.0,73.573,1655956800000,97464,
27,74.04,76.48,73.96,76.46,11247565.0,75.8853,1656043200000,100913,
28,76.4,76.66,75.6,75.83,6791861.0,75.9284,1656302400000,74151,
29,76.28,76.99,74.9,75.02,4923194.0,75.718,1656388800000,51388,
30,75.16,75.29,73.71,74.48,5297410.0,74.3797,1656475200000,55287,
31,73.32,74.275,72.58,73.6,6930162.0,73.4754,1656561600000,82024,
32,72.99,74.23,72.19,74.12,8217101.0,73.4573,1656648000000,88034,
33,72.17,72.64,71.11,72.63,9706810.0,71.9226,1656993600000,100053,
34,72.55,73.3,71.76,73.09,8300960.0,72.5089,1657080000000,87726,
35,73.99,74.5,73.53,73.74,4948661.0,73.9384,1657166400000,52627,
36,73.85,73.97,72.63,73.02,4091297.0,73.2891,1657252800000,44578,
37,72.28,73.15,72.15,72.82,4143790.0,72.7354,1657512000000,44320,
38,72.51,73.64,72.42,72.68,6803456.0,73.2033,1657598400000,63376,
39,71.49,72.68,71.13,72.26,9999380.0,72.0209,1657684800000,82890,
40,70.91,70.985,69.98,70.93,7506167.0,70.5228,1657771200000,83259,
41,72.08,72.29,71.16,72.04,5167017.0,71.8844,1657857600000,64455,
42,72.98,73.32,71.94,72.21,3766700.0,72.7765,1658116800000,48391,
43,73.01,74.58,72.93,74.41,5642414.0,74.1807,1658203200000,52601,
44,74.31,74.87,73.99,74.54,4691708.0,74.439,1658289600000,50647,
45,74.41,75.62,74.07,75.6,4700916.0,74.944,1658376000000,50563,
46,76.06,76.45,74.72,75.06,5403743.0,75.3338,1658462400000,57279,
47,75.26,75.465,74.76,75.37,3864919.0,75.1604,1658721600000,42070,
48,74.98,75.3,74.57,74.86,3851874.0,74.8596,1658808000000,40075,
