,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,131.52,132.26,128.49,129.25,8276696.0,130.2357,1657598400000,87721,
1,126.82,129.74,126.26,128.91,7581328.0,128.6459,1657684800000,82855,
2,127.88,130.55,126.23,130.09,6864408.0,128.7196,1657771200000,81301,
3,131.34,132.44,130.79,132.38,6764646.0,131.8511,1657857600000,88669,
4,133.68,134.16,130.6,131.1,4948846.0,132.6603,1658116800000,60615,
5,132.56,135.24,131.76,135.1,6165272.0,134.2669,1658203200000,62214,
6,135.12,137.78,134.76,137.21,6268566.0,136.7901,1658289600000,71702,
7,137.38,139.17,135.95,139.14,6478770.0,138.0945,1658376000000,70272,
8,139.08,139.65,136.425,137.22,5291806.0,137.6042,1658462400000,56040,
9,137.16,137.31,135.32,136.35,6975583.0,136.0886,1658721600000,81320,
10,136.24,136.28,133.64,134.14,5083917.0,134.384,1658808000000,51133,
11,136.35,140.64,136.15,139.91,8536752.0,138.7571,1658894400000,92493,
12,140.07,142.36,138.82,142.04,6204042.0,141.0609,1658980800000,65793,
13,142.48,144.67,141.88,144.22,5088675.0,143.6613,1659067200000,60551,
14,142.92,145.35,142.57,143.91,6258003.0,144.0624,1659326400000,61739,
15,142.67,144.54,141.66,142.89,7960900.0,143.2458,1659412800000,59302,
16,143.59,147.1,143.56,146.69,7121765.0,145.9402,1659499200000,70330,
17,146.64,147.43,145.7,147.36,5839913.0,146.7108,1659585600000,58975,
18,145.0,147.43,144.88,147.02,3960514.0,146.405,1659672000000,45610,
19,146.89,148.03,144.98,145.77,5551413.0,146.3446,1659931200000,55985,
20,144.59,144.88,143.53,144.31,4282862.0,144.2036,1660017600000,66896,
21,147.74,148.37,146.56,148.25,9636552.0,147.6735,1660104000000,86052,
22,149.18,150.05,147.4,147.67,5512907.0,148.3028,1660190400000,56406,
23,148.64,150.62,148.18,150.61,4044259.0,149.7045,1660276800000,46519,
24,150.01,151.78,149.84,151.56,3581283.0,151.0328,1660536000000,44461,
25,150.87,151.86,149.74,151.15,5495341.0,150.99,1660622400000,55091,
26,149.77,151.22,148.99,150.07,6316380.0,150.0077,1660708800000,65120,
27,150.22,151.45,149.64,150.85,4988433.0,150.694,1660795200000,60367,
28,149.61,149.79,147.7783,148.11,5073265.0,148.3752,1660881600000,51470,
29,146.09,146.14,143.62,143.98,5372124.0,144.518,1661140800000,69052,
30,143.7,145.12,143.405,143.6,7388683.0,143.9588,1661227200000,59246,
31,143.5,144.3,142.9,143.69,4491636.0,143.6574,1661313600000,48474,
32,144.06,146.13,143.87,146.12,3563308.0,145.1284,1661400000000,39275,
33,146.06,146.41,139.78,139.88,7160945.0,141.8422,1661486400000,77926,
34,138.37,139.38,137.5,138.03,6615764.0,138.548,1661745600000,88208,
35,138.81,139.049,135.35,136.59,6634391.0,136.5549,1661832000000,88280,
36,137.41,137.85,135.19,135.26,7085662.0,136.0866,1661918400000,91742,
37,133.94,134.77,131.78,134.6,7994304.0,133.1294,1662004800000,91687,
38,135.99,136.76,132.15,132.85,8303264.0,133.9571,1662091200000,95196,
39,133.03,133.6,131.1,131.97,7495104.0,132.2622,1662436800000,102679,
40,132.23,134.62,131.78,134.08,5828475.0,133.3162,1662523200000,71076,
41,133.09,135.24,132.49,134.54,5605301.0,133.8409,1662609600000,65450,
42,135.66,137.57,135.4,137.2,5709315.0,136.9054,1662696000000,56540,
43,138.05,139.46,138.03,139.4,5090477.0,138.9267,1662955200000,57191,
44,135.42,136.18,131.64,132.0,10074357.0,133.4831,1663041600000,96838,
45,132.62,133.45,131.21,132.48,6614581.0,132.3179,1663128000000,74200,
46,131.42,132.22,128.65,129.43,7442643.0,129.9884,1663214400000,87506,
47,128.3,128.975,126.88,128.71,10381060.0,127.9755,1663300800000,120539,
48,127.11,129.56,127.03,129.44,7841637.0,128.5934,1663560000000,73688,
49,128.23,129.49,127.5602,128.68,6054822.0,128.5222,1663646400000,67962,
50,129.35,131.25,126.65,126.67,8404352.0,128.8005,1663732800000,91608,
51,125.96,126.76,124.67,125.38,8017124.0,125.5478,1663819200000,82780,
52,124.24,124.43,122.11,123.74,9698339.0,123.3103,1663905600000,104375,
53,123.36,125.43,122.53,122.88,8597045.0,123.5558,1664164800000,90754,
54,124.51,125.68,121.9,123.04,9357359.0,123.264,1664251200000,110917,
55,122.22,124.94,121.28,124.34,9466697.0,123.2211,1664337600000,104629,
56,122.56,122.84,119.67,121.1,15548343.0,120.7277,1664424000000,172709,
57,120.61,122.4,118.56,118.78,9756456.0,120.2222,1664510400000,102798,
58,119.72,123.19,119.26,122.46,8666140.0,121.7892,1664769600000,93620,
59,124.94,126.71,124.85,126.57,8889540.0,126.1232,1664856000000,107008,
60,124.86,127.91,124.13,126.99,7286656.0,126.3994,1664942400000,77601,
61,126.66,128.05,125.8,125.95,7174110.0,126.6502,1665028800000,86657,
62,123.38,123.39,120.12,120.77,7874463.0,121.4303,1665115200000,79502,
63,120.77,120.94,117.55,118.74,8353096.0,118.908,1665374400000,112126,
64,118.06,118.875,116.05,116.92,10522406.0,117.3145,1665460800000,175082,
65,117.01,117.81,116.36,116.56,7055821.0,117.0267,1665547200000,108157,
66,113.41,120.805,112.97,120.18,19057309.0,117.7316,1665633600000,235550,
67,121.16,121.42,116.61,116.8,11242212.0,118.1059,1665720000000,147657,
68,119.66,120.96,119.34,120.36,7299764.0,120.2763,1665979200000,123030,
69,123.48,123.92,119.85,121.38,6972992.0,121.58,1666065600000,105331,
70,120.32,122.23,119.81,121.03,5491995.0,120.8693,1666152000000,78358,
71,121.07,123.73,120.5,121.1,6214824.0,121.8727,1666238400000,92814,
72,120.8,124.6,120.39,124.34,8562953.0,123.2111,1666324800000,116894,
73,124.87,126.52,123.35,126.06,6692591.0,125.3346,1666584000000,99209,
74,126.37,128.56,126.37,128.47,5132495.0,127.8489,1666670400000,66185,
75,125.23,128.26,125.03,125.61,7584690.0,126.2825,1666756800000,111144,
76,126.08,126.85,123.89,124.18,5847421.0,124.7908,1666843200000,81443,
77,124.87,129.85,124.87,129.58,7467722.0,128.502,1666929600000,94077,
78,128.29,128.64,127.11,127.87,6646133.0,127.9487,1667188800000,82173,
79,129.46,129.69,126.25,126.8,4706640.0,127.1466,1667275200000,60544,
80,126.71,128.34,122.38,122.42,9047620.0,125.2488,1667361600000,108872,
81,120.71,120.93,118.73,118.82,8005349.0,119.7559,1667448000000,125914,
82,121.29,121.62,118.22,120.99,8948144.0,119.899,1667534400000,122373,
83,121.2,123.21,120.34,123.01,5205498.0,121.9756,1667797200000,73050,
84,124.03,125.69,122.36,124.19,6360973.0,124.303,1667883600000,84247,
85,123.04,123.09,120.7801,120.96,6137917.0,121.7686,1667970000000,80613,
86,126.93,131.04,126.29,130.9,13966058.0,128.8042,1668056400000,146307,
87,130.78,133.58,130.14,133.14,7988913.0,132.4002,1668142800000,110341,
88,132.09,133.6512,131.3691,132.0,7263280.0,132.5679,1668402000000,82973,
89,135.0,135.55,132.26,133.6,6355018.0,134.1325,1668488400000,88438,
90,132.57,132.96,131.22,131.77,4989993.0,131.9442,1668574800000,71216,
91,129.67,132.55,129.62,131.94,4080155.0,131.2402,1668661200000,62425,
92,133.43,133.47,130.98,132.09,5956171.0,131.908,1668747600000,66077,
93,131.34,131.88,130.41,130.67,4181923.0,130.9115,1669006800000,67741,
94,131.24,133.27,130.3,133.2,4509597.0,132.1737,1669093200000,58837,
95,132.91,134.78,132.82,134.38,4740303.0,134.1732,1669179600000,50872,
96,133.47,134.01,133.21,133.6,1631466.0,133.7195,1669352400000,29301,
97,132.09,132.94,130.21,130.74,6520125.0,131.381,1669611600000,87474,
98,130.57,130.96,128.93,129.46,5785113.0,129.6133,1669698000000,90797,
99,129.4,135.98,129.27,135.96,11667227.0,132.9171,1669784400000,142814,
100,136.09,136.8,134.47,136.15,7582905.0,135.9332,1669870800000,109093,
101,133.87,135.81,133.35,135.36,4467191.0,134.5034,1669957200000,59707,
102,134.32,135.075,132.23,133.11,5763284.0,133.4611,1670216400000,66093,
103,132.97,133.17,129.42,130.26,5899848.0,130.705,1670302800000,72079,
104,129.79,130.6,128.67,129.6,5206945.0,129.5622,1670389200000,70245,
105,130.32,132.1,129.54,131.72,4482893.0,131.306,1670475600000,58599,
106,131.13,132.75,130.42,130.91,5201474.0,131.7189,1670562000000,68607,
107,131.12,133.77,131.08,133.77,7403098.0,132.4272,1670821200000,75229,
108,138.64,139.3325,133.98,135.35,9303753.0,136.206,1670907600000,120388,
109,135.22,136.8,132.64,134.21,9770478.0,134.8462,1670994000000,116088,
110,132.01,132.5,128.7,129.19,9606338.0,129.7671,1671080400000,135343,
111,128.75,129.51,126.83,127.48,11999622.0,127.6146,1671166800000,123616,
112,127.13,127.33,124.59,125.42,7138284.0,125.4718,1671426000000,97959,
113,124.76,126.25,124.155,125.61,6311037.0,125.5324,1671512400000,95797,
114,126.19,128.285,125.88,127.69,7335276.0,127.6182,1671598800000,104675,
115,126.09,126.225,122.355,124.47,7662453.0,123.9772,1671685200000,102942,
116,123.58,124.72,122.6676,124.6,4115796.0,123.9827,1671771600000,63416,
117,124.17,124.39,122.69,123.42,4765105.0,123.5541,1672117200000,75748,
118,123.12,124.27,121.29,121.43,5181482.0,122.2903,1672203600000,74306,
119,122.62,125.03,122.605,124.61,5477143.0,124.4142,1672290000000,85426,
120,123.32,124.51,122.55,124.44,4452935.0,123.5763,1672376400000,68273,
121,125.77,126.6,122.38,123.26,7598070.0,123.4976,1672722000000,86020,
122,123.9,124.37,122.22,123.58,5906502.0,123.4093,1672808400000,84781,
123,122.96,123.28,120.97,121.18,5670515.0,121.7688,1672894800000,75038,
124,122.25,125.29,120.81,124.73,6912740.0,123.6971,1672981200000,88864,
125,125.85,128.475,125.81,126.18,10713633.0,127.2353,1673240400000,112008,
126,125.87,127.1599,125.2,126.96,8604527.0,126.3644,1673326800000,89639,
127,127.36,129.16,126.97,129.16,6878986.0,128.298,1673413200000,67426,
128,129.36,130.71,127.78,130.12,7679335.0,129.6215,1673499600000,104588,
129,128.89,130.6798,128.59,130.49,5076582.0,129.7452,1673586000000,67414,
130,130.31,131.85,130.15,131.08,5212859.0,130.963,1673931600000,60083,
131,131.82,132.52,129.31,129.39,6953261.0,130.37,1674018000000,67621,
132,128.38,129.1,127.41,127.88,7322513.0,128.0989,1674104400000,64268,
133,128.52,131.435,128.06,131.34,7036905.0,130.3057,1674190800000,74119,
134,131.87,135.1,131.57,134.33,11736438.0,134.1745,1674450000000,116489,
135,133.57,134.78,133.37,134.27,6287839.0,134.0774,1674536400000,74735,
136,132.0,134.33,130.77,133.99,7171147.0,132.6757,1674622800000,88897,
137,135.3,136.19,133.9,136.13,5580870.0,135.147,1674709200000,67929,
138,135.27,137.66,135.21,136.7,6774660.0,136.7417,1674795600000,66357,
139,135.13,135.72,133.975,134.09,4850557.0,134.6312,1675054800000,61402,
140,134.09,136.02,134.0,135.96,4425403.0,135.1434,1675141200000,55289,
141,135.86,140.27,135.21,139.16,9426375.0,137.7801,1675227600000,109321,
142,141.54,143.76,140.89,142.96,9412026.0,142.2326,1675314000000,112080,
143,140.5,144.09,140.29,141.77,8072663.0,142.3421,1675400400000,104226,
144,140.2,141.3,139.51,140.04,6488729.0,140.2691,1675659600000,62558,
145,140.25,144.08,140.19,143.54,7854072.0,142.1753,1675746000000,102580,
146,143.82,144.59,141.52,141.81,6288539.0,142.5283,1675832400000,75290,
147,144.0,144.24,140.47,141.03,6312014.0,142.2164,1675918800000,72611,
148,139.98,140.86,139.05,140.38,4930785.0,139.962,1676005200000,63445,
149,140.93,143.121,140.84,142.81,4205914.0,142.3769,1676264400000,52100,
150,142.14,144.23,141.25,143.42,6310973.0,142.9821,1676350800000,79308,
