,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,74.57,74.755,72.43,72.48,29710386.0,73.3767,1646715600000,190092,
1,73.61,73.625,72.655,72.97,18254234.0,73.1784,1646802000000,108203,
2,72.45,72.73,71.6,72.28,21892496.0,72.1296,1646888400000,117337,
3,72.54,72.94,71.34,71.44,14276506.0,72.1188,1646974800000,98733,
4,71.89,72.54,71.43,71.82,18438859.0,71.9831,1647230400000,126240,
5,72.47,73.52,72.3,73.43,17078070.0,73.0483,1647316800000,115649,
6,73.61,73.89,72.455,73.51,18783201.0,73.2614,1647403200000,125436,
7,73.46,74.15,73.285,74.02,14484621.0,73.6995,1647489600000,95389,
8,74.09,74.26,73.53,74.19,20278562.0,73.9681,1647576000000,107234,
9,74.04,74.61,73.54,73.95,17659167.0,73.9341,1647835200000,104386,
10,74.5,74.645,73.87,74.5,11667376.0,74.291,1647921600000,80360,
11,74.59,74.78,73.83,73.9,14027765.0,74.1612,1648008000000,86365,
12,74.2,74.4453,73.95,74.42,9458792.0,74.2483,1648094400000,62495,
13,74.6,75.185,74.53,75.04,12508507.0,74.8674,1648180800000,65563,
14,75.07,75.35,74.63,75.35,11602568.0,74.9685,1648440000000,67863,
15,75.94,76.16,75.34,76.02,16595130.0,75.7099,1648526400000,82881,
16,75.72,76.08,75.4,76.07,13367526.0,75.7868,1648612800000,75482,
17,75.98,76.35,75.76,75.89,12388517.0,76.0875,1648699200000,66126,
18,76.03,76.735,75.735,76.65,12643956.0,76.2172,1648785600000,76229,
19,76.52,76.52,75.54,76.41,9618395.0,76.1513,1649044800000,69247,
20,76.06,77.27,76.06,76.48,12717155.0,76.8093,1649131200000,73484,
21,76.48,77.55,76.15,77.45,23849593.0,77.1653,1649217600000,134222,
22,77.71,78.56,77.49,78.39,18311502.0,78.0826,1649304000000,101076,
23,78.6,78.96,78.245,78.72,13879445.0,78.6871,1649390400000,84100,
24,78.86,79.12,78.25,78.4,18229905.0,78.6141,1649649600000,103992,
25,78.41,78.96,78.135,78.42,19804785.0,78.5448,1649736000000,110388,
26,78.36,78.965,78.35,78.86,11715719.0,78.6937,1649822400000,75103,
27,78.99,79.39,78.79,78.84,12195559.0,79.0774,1649908800000,79773,
28,78.66,78.95,77.965,78.19,11426673.0,78.4563,1650254400000,71683,
