,open,high,low,close,volume,vwap,timestamp,transactions,otc
0,71.46,71.96,71.16,71.65,11606773.0,71.6781,1652673600000,73623,
1,71.99,72.4,70.88,72.39,14950886.0,71.9418,1652760000000,86871,
2,72.51,72.66,71.5,71.69,18728311.0,72.1127,1652846400000,118777,
3,71.36,71.86,70.53,71.54,18276064.0,71.2124,1652932800000,132208,
4,71.73,71.945,70.75,71.74,15679048.0,71.3302,1653019200000,108340,
5,72.56,72.93,71.88,72.6,13541056.0,72.5216,1653278400000,90907,
6,72.74,74.19,72.185,74.05,16155684.0,73.4162,1653364800000,105374,
7,74.13,74.24,73.52,74.0,13861900.0,73.9094,1653451200000,90859,
8,74.46,74.7526,74.15,74.21,11645183.0,74.3954,1653537600000,79497,
9,74.15,75.37,73.83,75.37,11620931.0,74.91,1653624000000,75342,
10,74.67,74.95,74.01,74.33,15520704.0,74.4527,1653969600000,97916,
11,74.6,74.6,73.53,74.21,11211129.0,74.0917,1654056000000,78295,
12,74.57,74.78,73.06,74.71,12519111.0,74.0715,1654142400000,85924,
13,74.4,74.81,74.21,74.35,8845578.0,74.5069,1654228800000,68098,
14,75.02,75.2561,74.59,74.68,10172896.0,74.8234,1654488000000,71467,
15,74.49,75.2,74.03,75.13,9909986.0,74.5857,1654574400000,63995,
16,74.8,74.8018,73.545,73.66,9985740.0,74.1036,1654660800000,68168,
17,73.62,73.975,71.84,71.89,12883764.0,72.846,1654747200000,84203,
18,71.18,71.98,70.74,71.34,16400323.0,71.3825,1654833600000,106122,
19,70.43,70.59,67.725,68.06,26360670.0,68.855,1655092800000,151784,
20,68.14,68.39,65.59,66.34,25671385.0,66.4756,1655179200000,149013,
21,66.93,67.79,65.96,66.77,25832439.0,66.7802,1655265600000,180835,
22,65.94,65.94,64.96,65.48,24097001.0,65.4194,1655352000000,135093,
23,65.58,66.04,64.33,64.87,21564716.0,64.9011,1655438400000,131692,
24,64.58,65.94,64.42,65.58,18633202.0,65.4206,1655784000000,115534,
25,65.23,66.755,65.21,66.27,14291053.0,66.2449,1655870400000,94164,
26,66.66,67.95,66.57,67.83,20570115.0,67.4577,1655956800000,124460,
27,68.19,69.15,67.92,69.01,15037628.0,68.6894,1656043200000,91795,
28,68.86,69.73,68.59,69.57,11638486.0,69.3578,1656302400000,98305,
29,69.8,70.34,69.22,69.31,13186151.0,69.6794,1656388800000,83809,
30,69.42,69.63,68.92,69.36,15164949.0,69.24,1656475200000,83378,
31,68.93,70.65,68.84,70.13,18868945.0,69.9772,1656561600000,110041,
